
 
     |                               instr_de_reg[21]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 80.531   |   MET | aview_typ_25c | 
     |                             fe_address_reg[30]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 81.216   |   MET | aview_typ_25c | 
     |                             fe_address_reg[23]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 83.103   |   MET | aview_typ_25c | 
     |                             fe_address_reg[24]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_pc_fwd_ex_reg[27]/S | 83.858   |   MET | aview_typ_25c | 
     |                                                I f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 85.806   |   MET | aview_typ_25c | 
     |                             fe_address_reg[25]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 86.461   |   MET | aview_typ_25c | 
     |                             fe_address_reg[28]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_rd_a_data_ex_reg[30 | 88.203   |   MET | aview_typ_25c | 
     |                                             ]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 88.654   |   MET | aview_typ_25c | 
     |                             fe_address_reg[22]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 89.816   |   MET | aview_typ_25c | 
     |                              fe_address_reg[8]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 89.845   |   MET | aview_typ_25c | 
     |                             fe_address_reg[19]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 90.143   |   MET | aview_typ_25c | 
     |                             fe_address_reg[20]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_rd_b_data_ex_reg[30 | 90.333   |   MET | aview_typ_25c | 
     |                                             ]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 90.912   |   MET | aview_typ_25c | 
     |                             fe_address_reg[16]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_rd_a_data_ex_reg[31 | 91.672   |   MET | aview_typ_25c | 
     |                                             ]/SI r |          |       |               | 
     | u_cm3_bus_matrix_u_cm3_mtx_bit_master_addrbuf_addr | 92.001   |   MET | aview_typ_25c | 
     |                                      _reg[27]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 92.126   |   MET | aview_typ_25c | 
     |                             fe_address_reg[27]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 92.251   |   MET | aview_typ_25c | 
     |                              fe_address_reg[6]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_rd_a_data_ex_reg[29 | 92.786   |   MET | aview_typ_25c | 
     |                                             ]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 92.914   |   MET | aview_typ_25c | 
     |                             fe_address_reg[11]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 93.663   |   MET | aview_typ_25c | 
     |                             fe_address_reg[14]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 94.089   |   MET | aview_typ_25c | 
     |                             fe_address_reg[31]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_rd_b_data_ex_reg[31 | 94.699   |   MET | aview_typ_25c | 
     |                                             ]/SI r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 95.000   |   MET | aview_typ_25c | 
     |                             fe_address_reg[10]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 96.950   |   MET | aview_typ_25c | 
     |                              fe_address_reg[2]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_rd_b_data_ex_reg[29 | 97.122   |   MET | aview_typ_25c | 
     |                                             ]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 97.748   |   MET | aview_typ_25c | 
     |                              fe_address_reg[7]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 99.513   |   MET | aview_typ_25c | 
     |                             fe_address_reg[26]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 100.622  |   MET | aview_typ_25c | 
     |                             fe_address_reg[21]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 102.939  |   MET | aview_typ_25c | 
     |                             fe_address_reg[18]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 102.961  |   MET | aview_typ_25c | 
     |                             fe_address_reg[17]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 104.605  |   MET | aview_typ_25c | 
     |                             fe_address_reg[15]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 105.280  |   MET | aview_typ_25c | 
     |                             fe_address_reg[12]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 106.109  |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg8 | 106.109  |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg3 | 106.500  |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg2 | 106.600  |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg9 | 106.600  |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 106.600  |   MET | aview_typ_25c | 
     |                                     1_reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 107.399  |   MET | aview_typ_25c | 
     |                                     0_reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 108.156  |   MET | aview_typ_25c | 
     |                             fe_address_reg[13]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 108.244  |   MET | aview_typ_25c | 
     |                              fe_address_reg[4]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg0 | 108.321  |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg4 | 108.451  |   MET | aview_typ_25c | 
     |                                      _reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 108.628  |   MET | aview_typ_25c | 
     |                                     3_reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 108.651  |   MET | aview_typ_25c | 
     |                                     2_reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 108.980  |   MET | aview_typ_25c | 
     |                              fe_address_reg[9]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 109.049  |   MET | aview_typ_25c | 
     |                              fe_address_reg[3]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 109.378  |   MET | aview_typ_25c | 
     |                              fe_address_reg[5]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg5 | 109.573  |   MET | aview_typ_25c | 
     |                                       _reg[28]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 109.773  |   MET | aview_typ_25c | 
     |                                      5_reg[28]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 109.800  |   MET | aview_typ_25c | 
     |                                     4_reg[28]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg7 | 110.327  |   MET | aview_typ_25c | 
     |                                       _reg[28]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg6 | 110.536  |   MET | aview_typ_25c | 
     |                                       _reg[28]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_rf_pc_fwd_ex_reg[26]/S | 112.177  |   MET | aview_typ_25c | 
     |                                                I f |          |       |               | 
     | u_cm3_bus_matrix_u_cm3_mtx_bit_master_addrbuf_addr | 118.001  |   MET | aview_typ_25c | 
     |                                      _reg[26]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg9 | 122.678  |   MET | aview_typ_25c | 
     |                                      _reg[27]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 124.237  |   MET | aview_typ_25c | 
     |                                     1_reg[27]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_alu_u_cm3_dpu_alu_dp_mcyc_temp | 125.484  |   MET | aview_typ_25c | 
     |                                _low_ex_reg[30]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 126.804  |   MET | aview_typ_25c | 
     |                                     3_reg[27]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg0 | 127.433  |   MET | aview_typ_25c | 
     |                                      _reg[27]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 127.848  |   MET | aview_typ_25c | 
     |                                     2_reg[27]/SI f |          |       |               | 
